,decada,actor,votos,numpelis,rankdecada
0,2010,Leonardo DiCaprio,83763.88,8,1
1,2010,Michael Caine,53132.56,9,2
2,2010,Tom Hardy,48151.18,11,3
3,2010,Cillian Murphy,44866.57,7,4
4,2010,Helena Bonham Carter,43640.9,10,5
5,2010,Marion Cotillard,43393.0,10,6
6,2010,Joseph Gordon-Levitt,42912.11,9,7
7,2010,Sebastian Stan,42829.0,8,8
8,2010,Michael Gambon,42630.83,6,9
9,2010,Max von Sydow,41999.17,6,10
10,2000,Ian McKellen,121946.71,7,1
11,2000,Orlando Bloom,112810.44,9,2
12,2000,Elijah Wood,94982.89,9,3
13,2000,Andy Serkis,88061.33,6,4
14,2000,David Wenham,82811.22,9,5
15,2000,Viggo Mortensen,77526.5,10,6
16,2000,Lucy Liu,74335.67,6,7
17,2000,Kevin McNally,73707.0,6,8
18,2000,Rupert Grint,72226.17,6,9
19,2000,Emma Watson,72226.17,6,9
20,2000,Gary Oldman,71022.43,7,10
21,1990,Brad Pitt,65230.38,13,1
22,1990,Tom Hanks,63154.0,11,2
23,1990,Kevin Spacey,63079.56,9,3
24,1990,Bruce Willis,62670.5,14,4
25,1990,Cameron Diaz,62593.71,7,5
26,1990,John Travolta,55610.67,6,6
27,1990,Morgan Freeman,54861.45,11,7
28,1990,Jim Carrey,54814.9,10,8
29,1990,Mykelti Williamson,54758.83,6,9
30,1990,Harvey Keitel,52691.7,10,10
31,1980,Harrison Ford,99674.5,8,1
32,1980,Sean Connery,49204.63,8,2
33,1980,Arnold Schwarzenegger,43518.57,7,3
34,1980,Sigourney Weaver,42772.17,6,4
35,1980,Michael J. Fox,39434.83,6,5
36,1980,Dan Aykroyd,37073.67,6,6
37,1980,Jack Nicholson,36990.22,9,7
38,1980,Robert De Niro,36043.56,9,8
39,1980,Robert Loggia,33164.13,8,9
40,1980,Danny Glover,32666.17,6,10
41,1970,Robert Duvall,63342.43,7,1
42,1970,Diane Keaton,59796.0,8,2
43,1970,Robert De Niro,48798.71,7,3
44,1970,Woody Allen,31565.5,6,4
45,1970,Ned Beatty,15489.0,8,5
46,1970,Clint Eastwood,15460.63,8,6
47,1970,Faye Dunaway,13321.33,6,7
48,1970,Michael Caine,12169.17,6,8
49,1970,Sean Connery,9686.0,8,9
50,1970,Donald Sutherland,7888.57,7,10
51,1960,Charles Bronson,26030.0,6,1
52,1960,Lee Van Cleef,17079.5,6,2
53,1960,Eli Wallach,17073.0,6,3
54,1960,Paul Newman,15254.14,7,4
55,1960,John Ireland,14362.5,6,5
56,1960,Sean Connery,13795.67,6,6
57,1960,Herbert Lom,13260.0,6,7
58,1960,Laurence Olivier,12561.17,6,8
59,1960,Charlton Heston,12506.86,7,9
60,1960,Omar Sharif,12506.29,7,10
61,1950,James Stewart,26693.0,7,1
62,1950,Jack Hawkins,19751.83,6,2
63,1950,Grace Kelly,18889.67,6,3
64,1950,James Mason,18213.33,6,4
65,1950,Leo G. Carroll,17599.33,6,5
66,1950,William Holden,15346.78,9,6
67,1950,Takashi Shimura,14293.67,6,7
68,1950,Kirk Douglas,13631.56,9,8
69,1950,Tony Curtis,11531.0,9,9
70,1950,Toshirô Mifune,11236.14,7,10
71,1940,Humphrey Bogart,23971.33,6,1
72,1940,Claude Rains,17803.43,7,2
73,1940,Henry Daniell,15120.25,8,3
74,1940,Ward Bond,11037.89,9,4
75,1940,Walter Huston,8526.29,7,5
76,1940,Cary Grant,7772.27,11,6
77,1940,Raymond Massey,7720.0,6,7
78,1940,Gene Lockhart,5529.86,7,8
79,1940,Errol Flynn,4219.38,8,9
80,1940,Gary Cooper,3705.71,7,10
81,1930,Ward Bond,8339.29,7,1
82,1930,Alan Hale,7845.17,6,2
83,1930,Cary Grant,6180.0,7,3
84,1930,C. Aubrey Smith,5089.33,6,4
85,1930,Basil Rathbone,4956.63,8,5
86,1930,Melvyn Douglas,4026.17,6,6
87,1930,Claudette Colbert,3960.33,6,7
88,1930,Edward Arnold,3489.17,6,8
89,1930,Walter Connolly,3314.17,6,9
90,1930,Lionel Barrymore,3240.33,6,10
91,1920,Rudolf Klein-Rogge,9450.29,7,1
92,1920,Buster Keaton,5580.44,9,2
93,1920,Snitz Edwards,2200.5,6,3
94,1920,Emil Jannings,1761.13,8,4
